iter	MultiClass
0	1.787138566
1	1.674519021
2	1.587740832
3	1.516354673
4	1.460462335
5	1.40905456
6	1.367276189
7	1.331542234
8	1.293571766
9	1.261302041
10	1.237321349
11	1.215427547
12	1.19536457
13	1.172949107
14	1.157077842
15	1.141496523
16	1.124629958
17	1.113258823
18	1.102088405
19	1.091921735
20	1.07904041
21	1.067595882
22	1.060137161
23	1.051367427
24	1.045523345
25	1.037057009
26	1.031434268
27	1.023930269
28	1.016606997
29	1.011431112
30	1.00594682
31	1.000223814
32	0.9943353333
33	0.988702416
34	0.9851731559
35	0.9796298143
36	0.9754167475
37	0.971182615
38	0.968237542
39	0.9654193743
40	0.962825129
41	0.960518741
42	0.9568659736
43	0.953767941
44	0.9516568032
45	0.9487212201
46	0.9464640273
47	0.9429175141
48	0.9407851113
49	0.9375869286
50	0.9361490386
51	0.9331340009
52	0.9313199266
53	0.9289919906
54	0.9268009581
55	0.925077741
56	0.9232883329
57	0.9212866019
58	0.9195066127
59	0.9177182215
60	0.9156951178
61	0.9140674992
62	0.9122750781
63	0.9109937335
64	0.9093859849
65	0.9073292516
66	0.9050546397
67	0.9027746249
68	0.9003931682
69	0.8988368171
70	0.8975522561
71	0.8965656182
72	0.8952531478
73	0.8942489264
74	0.8923364435
75	0.8910080671
76	0.8896822155
77	0.8884412538
78	0.8872890417
79	0.8861088116
80	0.8849973775
81	0.8838292463
82	0.8824712988
83	0.8817266203
84	0.8807540713
85	0.8792376565
86	0.878014348
87	0.8768221372
88	0.8756217424
89	0.8746067183
90	0.8734021545
91	0.8728427257
92	0.8715043996
93	0.8705646728
94	0.8692728363
95	0.8679203309
96	0.8663610849
97	0.8652316456
98	0.8636845709
99	0.8627478748
100	0.8613843977
101	0.8604724747
102	0.8593764769
103	0.85825664
104	0.857493512
105	0.8564324109
106	0.8552234882
107	0.8542012857
108	0.8531732202
109	0.8523652354
110	0.8512534764
111	0.8504858292
112	0.84956437
113	0.8485256612
114	0.8479911647
115	0.8469334574
116	0.845804223
117	0.8449426216
118	0.843543118
119	0.842753604
120	0.8418062072
121	0.8406294334
122	0.839498283
123	0.8385397401
124	0.8375231966
125	0.8363851538
126	0.8356148397
127	0.8342646071
128	0.8333485378
129	0.832147442
130	0.8312205617
131	0.8298256617
132	0.8293838071
133	0.828526992
134	0.8275200138
135	0.8264405395
136	0.8256477814
137	0.8249387917
138	0.8242526339
139	0.8229745712
140	0.8217296521
141	0.8206027929
142	0.8195582576
143	0.818199626
144	0.8175108944
145	0.8169145577
146	0.8157221166
147	0.8148495262
148	0.8139625123
149	0.8129174504
150	0.8120497775
151	0.8110363629
152	0.8099027751
153	0.8088370581
154	0.8079881353
155	0.807148997
156	0.8063626638
157	0.8053833763
158	0.8045039528
159	0.8040676842
160	0.8032909247
161	0.8026379613
162	0.8019892881
163	0.8015215553
164	0.8006600051
165	0.8002033129
166	0.7990774773
167	0.7984927153
168	0.7978290818
169	0.7967307183
170	0.7958130737
171	0.7949333735
172	0.7939095607
173	0.7925428619
174	0.7914802666
175	0.7903367588
176	0.7893392398
177	0.7885812304
178	0.7878501481
179	0.7871909438
180	0.7862700536
181	0.7854118168
182	0.7845732026
183	0.7840731276
184	0.7833905325
185	0.7822344795
186	0.7812911401
187	0.7801351097
188	0.7795106068
189	0.778540181
190	0.7774191904
191	0.7765617288
192	0.7760026351
193	0.7754018431
194	0.7745633688
195	0.7741813885
196	0.7734257786
197	0.7726559597
198	0.771841763
199	0.7710505849
200	0.7705448857
201	0.7697932647
202	0.7689032869
203	0.7681404299
204	0.7675319932
205	0.766724962
206	0.7657261133
207	0.7652383217
208	0.7647046871
209	0.7641331281
210	0.762926778
211	0.7623268683
212	0.7617456821
213	0.7609514216
214	0.7601927329
215	0.7596124181
216	0.7589877082
217	0.7584634481
218	0.7576902466
219	0.7566337122
220	0.7558949995
221	0.754989678
222	0.7543405141
223	0.753602881
224	0.7528080759
225	0.7517886478
226	0.7507417857
227	0.7497720482
228	0.7489303694
229	0.7481246538
230	0.7475855722
231	0.7471553667
232	0.7466858217
233	0.746071741
234	0.7453075601
235	0.7447553838
236	0.7442467014
237	0.7436308593
238	0.7426822646
239	0.7421311206
240	0.7416201939
241	0.7413635177
242	0.7406763476
243	0.7402108206
244	0.739742487
245	0.7392742298
246	0.7389149477
247	0.7379939927
248	0.7371711048
249	0.7364526442
250	0.7357150203
251	0.7348207151
252	0.7339569823
253	0.7334046806
254	0.7329187007
255	0.7323484803
256	0.7318077441
257	0.7313208218
258	0.7307721296
259	0.7300361274
260	0.7294371366
261	0.7287296702
262	0.7281489037
263	0.72739235
264	0.7268585585
265	0.7264010209
266	0.7255175862
267	0.7249943019
268	0.7244114076
269	0.7236785893
270	0.7230380484
271	0.7221594533
272	0.7215473391
273	0.7209174418
274	0.72027661
275	0.719737072
276	0.7192216295
277	0.7185375882
278	0.7178479524
279	0.7173621631
280	0.7164911193
281	0.7158864749
282	0.7156255405
283	0.7151668349
284	0.7146509212
285	0.7141728863
286	0.7136325557
287	0.7127822957
288	0.7125012439
289	0.7119320063
290	0.7112382531
291	0.7106347758
292	0.7100846346
293	0.7096731561
294	0.7088308056
295	0.7081371803
296	0.7075240705
297	0.7071554749
298	0.7067875849
299	0.7062043879
300	0.7055886473
301	0.7046690885
302	0.7043675427
303	0.7038598368
304	0.7032194564
305	0.7027169896
306	0.7022419773
307	0.7016119328
308	0.7010170681
309	0.7004599617
310	0.6999830492
311	0.6994504079
312	0.6985393276
313	0.6979796589
314	0.6971886647
315	0.696555869
316	0.6961541471
317	0.6957797617
318	0.695054844
319	0.6946908106
320	0.6941024454
321	0.6934282986
322	0.6927138295
323	0.6916443635
324	0.6911592196
325	0.6906628578
326	0.689802959
327	0.6891868226
328	0.6887611043
329	0.6885860444
330	0.6878970277
331	0.6871545631
332	0.6865664331
333	0.6858865406
334	0.6853758994
335	0.684924777
336	0.6841225523
337	0.6836247987
338	0.6831533028
339	0.682499693
340	0.6819360369
341	0.6811290064
342	0.6806760797
343	0.6801476809
344	0.6797234536
345	0.6792412175
346	0.6788572893
347	0.6784040514
348	0.6780821865
349	0.6769953204
350	0.6764631457
351	0.6759212703
352	0.6755178785
353	0.6751353597
354	0.6747750183
355	0.6742164587
356	0.673740014
357	0.6729916239
358	0.6724699006
359	0.6718614141
360	0.6712535208
361	0.6701379036
362	0.6695862481
363	0.6690441281
364	0.6686820793
365	0.6680526377
366	0.667324865
367	0.6666764933
368	0.6660482876
369	0.6652405081
370	0.6646734337
371	0.6639242396
372	0.66338128
373	0.663010525
374	0.66244426
375	0.6618249747
376	0.6609041332
377	0.6604624905
378	0.6599347344
379	0.6593678261
380	0.6588432896
381	0.6583358979
382	0.657788496
383	0.6573276116
384	0.6569299157
385	0.6564058967
386	0.6561090465
387	0.6555510307
388	0.6550175782
389	0.6543686896
390	0.6538455747
391	0.6532389523
392	0.6526778922
393	0.6522021248
394	0.6514832696
395	0.6509503287
396	0.6502784718
397	0.6497598089
398	0.6493888392
399	0.6489983098
400	0.6485756629
401	0.6480596374
402	0.6471861285
403	0.6466789397
404	0.6461784829
405	0.6457634199
406	0.6450351343
407	0.6445190456
408	0.6441243616
409	0.6437484609
410	0.6433583191
411	0.6426323705
412	0.6423303795
413	0.6418052397
414	0.6413433697
415	0.6410217092
416	0.6406998338
417	0.6402503255
418	0.6394585523
419	0.6391382958
420	0.6388098729
421	0.6385259246
422	0.6380920915
423	0.6374677273
424	0.6371291587
425	0.6365522487
426	0.636031352
427	0.6354775127
428	0.6349209219
429	0.6342311766
430	0.6337982323
431	0.633418603
432	0.6327264264
433	0.6318099519
434	0.6313816652
435	0.630852761
436	0.630325839
437	0.6300352773
438	0.6295457345
439	0.6291123074
440	0.6286943322
441	0.6278756948
442	0.6273919617
443	0.6271351662
444	0.6266862153
445	0.6262464051
446	0.625614285
447	0.624905575
448	0.6245407489
449	0.6238982687
450	0.6234791326
451	0.622937393
452	0.6223996226
453	0.6217676785
454	0.6213642632
455	0.6208379514
456	0.6202579249
457	0.6197517865
458	0.6189573298
459	0.6187188507
460	0.6183853399
461	0.6177263195
462	0.6169369632
463	0.6164980568
464	0.615985871
465	0.6157202901
466	0.6153901967
467	0.6149607496
468	0.6143628839
469	0.613826011
470	0.6134135345
471	0.612834718
472	0.6122890343
473	0.6118408038
474	0.6112910625
475	0.6109113981
476	0.6104138125
477	0.6097600192
478	0.6093470982
479	0.6086343719
480	0.6081287573
481	0.6076429095
482	0.6070988324
483	0.6067663554
484	0.6063064075
485	0.6059301231
486	0.6056306373
487	0.604988329
488	0.604260781
489	0.6037268494
490	0.6033301957
491	0.6028194232
492	0.6024753849
493	0.6017595384
494	0.6014721689
495	0.6010482307
496	0.6006549094
497	0.6003239314
498	0.5998753297
499	0.5990837866
500	0.5988100121
501	0.5984507321
502	0.5981664427
503	0.5976382265
504	0.5973247344
505	0.5969937325
506	0.596373604
507	0.5959736116
508	0.5954702008
509	0.5948306629
510	0.5943817466
511	0.5935490627
512	0.5930612383
513	0.5924789009
514	0.5919623598
515	0.591269413
516	0.5906477258
517	0.5901311856
518	0.5896740531
519	0.5890709684
520	0.5886875934
521	0.58809921
522	0.5875742253
523	0.5871872804
524	0.5865852555
525	0.5859295672
526	0.5855964348
527	0.5850581671
528	0.5847486379
529	0.5844102929
530	0.584088726
531	0.58369422
532	0.5834320628
533	0.5828556995
534	0.5825410163
535	0.5820675438
536	0.5818283409
537	0.5815317264
538	0.5809950883
539	0.5804552701
540	0.5800083763
541	0.5796644062
542	0.5794365363
543	0.5787895794
544	0.5785851584
545	0.5783484533
546	0.5778804292
547	0.5774606513
548	0.5769463152
549	0.5765178471
550	0.5762008935
551	0.5759995323
552	0.5756766472
553	0.5754085647
554	0.5750846437
555	0.57455174
556	0.5740588862
557	0.5738058187
558	0.5735723364
559	0.5730705473
560	0.5727090435
561	0.5723971278
562	0.5718755898
563	0.571211254
564	0.5705944784
565	0.5699146103
566	0.5696328072
567	0.5690441113
568	0.5687601112
569	0.5683929452
570	0.5679722331
571	0.5676479778
572	0.5671585461
573	0.5666638436
574	0.5661243074
575	0.5653911483
576	0.5652131467
577	0.5646794789
578	0.5640191098
579	0.5634962395
580	0.5628883804
581	0.5626824274
582	0.5623486218
583	0.5617451674
584	0.5615767886
585	0.5613744834
586	0.5610168734
587	0.5606451976
588	0.5600892099
589	0.5596392553
590	0.5592324545
591	0.5587750012
592	0.5582043169
593	0.5578983874
594	0.557427279
595	0.5569682323
596	0.5564701989
597	0.5561005766
598	0.5558271265
599	0.5553819612
600	0.5548086635
601	0.5544030004
602	0.5539981942
603	0.5534960309
604	0.5529010227
605	0.5524877017
606	0.5519654855
607	0.5515343122
608	0.5512489601
609	0.5508806328
610	0.5505331603
611	0.5499835064
612	0.549487836
613	0.5490732755
614	0.5485451424
615	0.5481278695
616	0.5477897328
617	0.5471864041
618	0.5465644536
619	0.5462358986
620	0.5457725428
621	0.5454370339
622	0.544893446
623	0.5445356261
624	0.5443513026
625	0.5438094907
626	0.5435857653
627	0.5433061456
628	0.5428606852
629	0.5423532618
630	0.5419915818
631	0.5416866914
632	0.5413161865
633	0.5411308142
634	0.5408632675
635	0.540214996
636	0.5397074937
637	0.539102731
638	0.5387390781
639	0.538266261
640	0.538042095
641	0.5375439321
642	0.5370945327
643	0.5368220472
644	0.5364076477
645	0.5359852575
646	0.535650458
647	0.5351839808
648	0.5348420462
649	0.5343988034
650	0.5339985513
651	0.5336455162
652	0.53340932
653	0.5329234456
654	0.5323274813
655	0.5317518509
656	0.531529886
657	0.531309411
658	0.5310209041
659	0.5304411453
660	0.529843529
661	0.5295903691
662	0.5292278393
663	0.5290101686
664	0.5286710192
665	0.5283478203
666	0.5276504273
667	0.5274805182
668	0.5271293823
669	0.5267457991
670	0.5265091458
671	0.5261027537
672	0.5260072979
673	0.5254094326
674	0.5248922149
675	0.5244813581
676	0.5242188213
677	0.5239530968
678	0.5233867701
679	0.523055563
680	0.5222709793
681	0.5220103729
682	0.5215444468
683	0.5210705023
684	0.5204539404
685	0.5200672784
686	0.5195610005
687	0.5191539589
688	0.5189763747
689	0.5186485589
690	0.5183136078
691	0.5180420792
692	0.5177647772
693	0.517399483
694	0.5172222566
695	0.5167628535
696	0.5164575736
697	0.5162362689
698	0.515873193
699	0.5156250016
700	0.5150979902
701	0.5148573479
702	0.5146192559
703	0.5140097963
704	0.5136956324
705	0.5135076042
706	0.5128224036
707	0.512374521
708	0.5120044665
709	0.5115930486
710	0.5113080389
711	0.5108043126
712	0.5104233834
713	0.5102074754
714	0.5098621116
715	0.5093507312
716	0.5090813347
717	0.5085282923
718	0.5081610106
